customer_key,customer_number,customer_name,age,age_groups,customer_segment,total_orders,total_sales,avg_order_value,avg_monthly_spend,total_quantity,total_products,recency,last_order_date,lifespan
1,AW00011000,Jon Yang,55,50 And Above,VIP,3,8249,2749,294,8,1564,153,2013-05-03,28
2,AW00011001,Eugene Huang,50,50 And Above,VIP,3,6384,2128,182,11,1915,146,2013-12-10,35
3,AW00011002,Ruben Torres,55,50 And Above,VIP,3,8114,2704,324,4,536,156,2013-02-23,25
4,AW00011003,Christy Zhu,53,50 And Above,VIP,3,8139,2713,280,9,1698,153,2013-05-10,29
5,AW00011004,Elizabeth Johnson,47,40-49,VIP,3,8196,2732,292,6,959,153,2013-05-01,28
6,AW00011005,Julio Ruiz,50,50 And Above,VIP,3,8121,2707,280,6,1125,153,2013-05-02,29
7,AW00011006,Janet Alvarez,50,50 And Above,VIP,3,8119,2706,289,5,696,153,2013-05-14,28
8,AW00011007,Marco Mehta,57,50 And Above,VIP,3,8211,2737,315,8,1534,155,2013-03-19,26
9,AW00011008,Rob Verhoff,51,50 And Above,VIP,3,8106,2702,311,7,1190,155,2013-03-02,26
10,AW00011009,Shannon Carlson,57,50 And Above,VIP,3,8091,2697,288,5,788,153,2013-05-09,28
11,AW00011010,Jacquelyn Suarez,57,50 And Above,VIP,3,8088,2696,288,4,456,153,2013-05-23,28
12,AW00011011,Curtis Lu,57,50 And Above,VIP,3,8133,2711,301,4,563,155,2013-03-19,27
13,AW00011012,Lauren Walker,47,40-49,New,2,81,40,11,5,1366,148,2013-10-15,7
14,AW00011013,Ian Jenkins,47,40-49,New,2,114,57,12,5,1352,145,2014-01-21,9
15,AW00011014,Sydney Bennett,53,50 And Above,New,2,138,69,138,6,1585,154,2013-04-30,1
16,AW00011015,Chloe Young,42,40-49,New,1,2501,2501,2501,3,578,157,2013-01-18,0
17,AW00011016,Wyatt Hill,42,40-49,New,1,2332,2332,2332,3,665,156,2013-02-09,0
18,AW00011017,Shannon Wang,77,50 And Above,VIP,3,6434,2144,194,4,451,148,2013-10-14,33
19,AW00011018,Clarence Rai,71,50 And Above,VIP,3,6533,2177,197,7,1100,148,2013-10-24,33
20,AW00011019,Luke Lal,43,40-49,New,17,880,51,80,33,8787,145,2014-01-12,11
21,AW00011020,Jordan King,42,40-49,New,1,2317,2317,2317,2,296,158,2012-12-29,0
22,AW00011021,Destiny Wilson,42,40-49,New,1,2372,2372,2372,3,543,157,2013-01-23,0
23,AW00011022,Ethan Zhang,42,40-49,New,1,2322,2322,2322,2,382,157,2013-01-20,0
